"elapsed_s","wallclock","live_proc_count","cpu_pct_onecore","cpu_pct_machine"
"0.004","2026-06-04T21:06:52.2897312+06:00","7","0","0"
"0.659","2026-06-04T21:06:52.9443636+06:00","7","0","0"
"1.241","2026-06-04T21:06:53.5266217+06:00","7","0","0"
"1.825","2026-06-04T21:06:54.1108716+06:00","7","0","0"
"2.391","2026-06-04T21:06:54.6770877+06:00","7","0","0"
"2.968","2026-06-04T21:06:55.2532726+06:00","7","0","0"
"3.559","2026-06-04T21:06:55.8442544+06:00","7","0","0"
"4.11","2026-06-04T21:06:56.3954472+06:00","7","0","0"
"4.693","2026-06-04T21:06:56.9787273+06:00","7","0","0"
"5.256","2026-06-04T21:06:57.5415270+06:00","7","0","0"
"5.824","2026-06-04T21:06:58.1097881+06:00","7","0","0"
"6.375","2026-06-04T21:06:58.6604189+06:00","7","0","0"
"6.958","2026-06-04T21:06:59.2435267+06:00","7","0","0"
"7.559","2026-06-04T21:06:59.8443727+06:00","7","0","0"
"8.122","2026-06-04T21:07:00.4079726+06:00","7","0","0"
"8.709","2026-06-04T21:07:00.9942414+06:00","7","0","0"
"9.259","2026-06-04T21:07:01.5442259+06:00","7","0","0"
"9.807","2026-06-04T21:07:02.0930701+06:00","7","0","0"
"10.369","2026-06-04T21:07:02.6548413+06:00","7","0","0"
"10.969","2026-06-04T21:07:03.2547616+06:00","7","0","0"
"11.525","2026-06-04T21:07:03.8102294+06:00","7","0","0"
"12.076","2026-06-04T21:07:04.3621479+06:00","7","0","0"
"12.675","2026-06-04T21:07:04.9608388+06:00","7","0","0"
"13.258","2026-06-04T21:07:05.5434572+06:00","7","0","0"
"13.81","2026-06-04T21:07:06.0961978+06:00","7","0","0"
"14.386","2026-06-04T21:07:06.6714463+06:00","7","0","0"
"14.975","2026-06-04T21:07:07.2603699+06:00","7","0","0"
"15.541","2026-06-04T21:07:07.8263378+06:00","7","0","0"
"16.108","2026-06-04T21:07:08.3937911+06:00","7","0","0"
"16.692","2026-06-04T21:07:08.9774825+06:00","7","0","0"
"17.226","2026-06-04T21:07:09.5115853+06:00","7","0","0"
"17.794","2026-06-04T21:07:10.0795367+06:00","7","0","0"
"18.39","2026-06-04T21:07:10.6758916+06:00","7","0","0"
"18.957","2026-06-04T21:07:11.2430552+06:00","7","0","0"
"19.517","2026-06-04T21:07:11.8029451+06:00","7","0","0"
"20.124","2026-06-04T21:07:12.4096908+06:00","7","0","0"
"20.691","2026-06-04T21:07:12.9764171+06:00","7","0","0"
"21.292","2026-06-04T21:07:13.5778461+06:00","7","0","0"
"21.858","2026-06-04T21:07:14.1437526+06:00","7","0","0"
"22.455","2026-06-04T21:07:14.7404327+06:00","7","0","0"
"22.957","2026-06-04T21:07:15.2424522+06:00","7","0","0"
"23.557","2026-06-04T21:07:15.8426233+06:00","7","0","0"
"24.125","2026-06-04T21:07:16.4103322+06:00","7","0","0"
"24.682","2026-06-04T21:07:16.9678455+06:00","7","0","0"
"25.201","2026-06-04T21:07:17.4870000+06:00","7","3.01","0.376"
"25.815","2026-06-04T21:07:18.1011855+06:00","7","0","0"
"26.383","2026-06-04T21:07:18.6685179+06:00","7","0","0"
"26.951","2026-06-04T21:07:19.2369856+06:00","7","0","0"
"27.532","2026-06-04T21:07:19.8179823+06:00","7","0","0"
"28.116","2026-06-04T21:07:20.4013072+06:00","7","0","0"
"28.698","2026-06-04T21:07:20.9834373+06:00","7","0","0"
"29.279","2026-06-04T21:07:21.5646394+06:00","7","0","0"
"29.868","2026-06-04T21:07:22.1532660+06:00","7","0","0"
"30.449","2026-06-04T21:07:22.7348981+06:00","7","2.686","0.336"
"30.982","2026-06-04T21:07:23.2680418+06:00","7","0","0"
"31.582","2026-06-04T21:07:23.8678421+06:00","7","0","0"
"32.116","2026-06-04T21:07:24.4020864+06:00","7","0","0"
"32.7","2026-06-04T21:07:24.9858430+06:00","7","0","0"
"33.299","2026-06-04T21:07:25.5851194+06:00","7","0","0"
"33.883","2026-06-04T21:07:26.1687541+06:00","7","0","0"
"34.417","2026-06-04T21:07:26.7024235+06:00","7","0","0"
"34.984","2026-06-04T21:07:27.2698125+06:00","7","0","0"
"35.556","2026-06-04T21:07:27.8414899+06:00","7","0","0"
"36.133","2026-06-04T21:07:28.4186100+06:00","7","0","0"
"36.701","2026-06-04T21:07:28.9868375+06:00","7","0","0"
"37.283","2026-06-04T21:07:29.5687870+06:00","7","0","0"
"37.866","2026-06-04T21:07:30.1521435+06:00","7","0","0"
"38.431","2026-06-04T21:07:30.7163942+06:00","7","0","0"
"38.983","2026-06-04T21:07:31.2686827+06:00","7","0","0"
"39.583","2026-06-04T21:07:31.8683402+06:00","7","0","0"
"40.2","2026-06-04T21:07:32.4854062+06:00","7","0","0"
"40.799","2026-06-04T21:07:33.0851785+06:00","7","0","0"
"41.399","2026-06-04T21:07:33.6849364+06:00","7","0","0"
"41.982","2026-06-04T21:07:34.2675309+06:00","7","0","0"
"42.549","2026-06-04T21:07:34.8343748+06:00","7","0","0"
"43.082","2026-06-04T21:07:35.3676435+06:00","7","0","0"
"43.65","2026-06-04T21:07:35.9360955+06:00","7","0","0"
"44.231","2026-06-04T21:07:36.5171414+06:00","7","0","0"
"44.849","2026-06-04T21:07:37.1351766+06:00","7","0","0"
"45.382","2026-06-04T21:07:37.6677529+06:00","7","0","0"
"45.918","2026-06-04T21:07:38.2036037+06:00","7","0","0"
"46.466","2026-06-04T21:07:38.7519667+06:00","7","0","0"
"47.065","2026-06-04T21:07:39.3504339+06:00","7","0","0"
"47.651","2026-06-04T21:07:39.9365275+06:00","7","0","0"
"48.249","2026-06-04T21:07:40.5351262+06:00","7","0","0"
"48.799","2026-06-04T21:07:41.0850967+06:00","7","0","0"
"49.349","2026-06-04T21:07:41.6344986+06:00","7","0","0"
"49.901","2026-06-04T21:07:42.1867792+06:00","7","0","0"
"50.464","2026-06-04T21:07:42.7494160+06:00","7","0","0"
"51.016","2026-06-04T21:07:43.3019193+06:00","7","0","0"
"51.598","2026-06-04T21:07:43.8840660+06:00","7","0","0"
"52.134","2026-06-04T21:07:44.4196097+06:00","7","0","0"
"52.699","2026-06-04T21:07:44.9850506+06:00","7","0","0"
"53.263","2026-06-04T21:07:45.5490819+06:00","7","0","0"
"53.832","2026-06-04T21:07:46.1178050+06:00","7","0","0"
"54.374","2026-06-04T21:07:46.6601657+06:00","7","0","0"
"54.924","2026-06-04T21:07:47.2094743+06:00","7","0","0"
"55.475","2026-06-04T21:07:47.7606642+06:00","7","0","0"
"56.04","2026-06-04T21:07:48.3257521+06:00","7","0","0"
"56.56","2026-06-04T21:07:48.8456511+06:00","7","0","0"
"57.109","2026-06-04T21:07:49.3946326+06:00","7","0","0"
"57.688","2026-06-04T21:07:49.9740949+06:00","7","0","0"
"58.247","2026-06-04T21:07:50.5326865+06:00","7","0","0"
"58.848","2026-06-04T21:07:51.1341861+06:00","7","0","0"
"59.448","2026-06-04T21:07:51.7335475+06:00","7","0","0"
"60.032","2026-06-04T21:07:52.3174941+06:00","7","0","0"
"60.568","2026-06-04T21:07:52.8534835+06:00","7","0","0"
"61.139","2026-06-04T21:07:53.4242594+06:00","7","0","0"
"61.708","2026-06-04T21:07:53.9935455+06:00","7","0","0"
"62.258","2026-06-04T21:07:54.5434636+06:00","7","0","0"
"62.825","2026-06-04T21:07:55.1102722+06:00","7","0","0"
"63.39","2026-06-04T21:07:55.6758553+06:00","7","0","0"
"63.991","2026-06-04T21:07:56.2769703+06:00","7","0","0"
"64.541","2026-06-04T21:07:56.8267341+06:00","7","0","0"
"65.076","2026-06-04T21:07:57.3614069+06:00","7","0","0"
"65.624","2026-06-04T21:07:57.9100658+06:00","7","0","0"
"66.173","2026-06-04T21:07:58.4590908+06:00","7","0","0"
"66.709","2026-06-04T21:07:58.9944249+06:00","7","0","0"
"67.272","2026-06-04T21:07:59.5582037+06:00","7","0","0"
"67.874","2026-06-04T21:08:00.1601200+06:00","7","0","0"
"68.474","2026-06-04T21:08:00.7597188+06:00","7","0","0"
"69.039","2026-06-04T21:08:01.3243054+06:00","7","0","0"
"69.608","2026-06-04T21:08:01.8933508+06:00","7","0","0"
"70.157","2026-06-04T21:08:02.4422859+06:00","7","0","0"
"70.741","2026-06-04T21:08:03.0266222+06:00","7","0","0"
"71.275","2026-06-04T21:08:03.5609794+06:00","7","0","0"
"71.873","2026-06-04T21:08:04.1590333+06:00","7","0","0"
"72.441","2026-06-04T21:08:04.7262347+06:00","7","0","0"
"73.007","2026-06-04T21:08:05.2931969+06:00","7","0","0"
"73.557","2026-06-04T21:08:05.8431709+06:00","7","0","0"
"74.123","2026-06-04T21:08:06.4086805+06:00","7","0","0"
"74.673","2026-06-04T21:08:06.9589476+06:00","7","0","0"
"75.257","2026-06-04T21:08:07.5422780+06:00","7","0","0"
"75.823","2026-06-04T21:08:08.1089192+06:00","7","0","0"
"76.389","2026-06-04T21:08:08.6746136+06:00","7","0","0"
"76.954","2026-06-04T21:08:09.2393564+06:00","7","0","0"
"77.536","2026-06-04T21:08:09.8212875+06:00","7","0","0"
"78.141","2026-06-04T21:08:10.4264048+06:00","7","0","0"
"78.738","2026-06-04T21:08:11.0232625+06:00","7","0","0"
"79.306","2026-06-04T21:08:11.5922130+06:00","7","0","0"
"79.842","2026-06-04T21:08:12.1280639+06:00","7","0","0"
"80.423","2026-06-04T21:08:12.7088400+06:00","7","0","0"
"80.989","2026-06-04T21:08:13.2742767+06:00","7","0","0"
"81.527","2026-06-04T21:08:13.8123088+06:00","7","0","0"
"82.075","2026-06-04T21:08:14.3608391+06:00","7","0","0"
"82.674","2026-06-04T21:08:14.9596332+06:00","7","0","0"
"83.24","2026-06-04T21:08:15.5254804+06:00","7","0","0"
"83.807","2026-06-04T21:08:16.0930016+06:00","7","0","0"
"84.39","2026-06-04T21:08:16.6752985+06:00","7","0","0"
"84.951","2026-06-04T21:08:17.2362537+06:00","7","0","0"
"85.573","2026-06-04T21:08:17.8587694+06:00","7","0","0"
"86.093","2026-06-04T21:08:18.3789934+06:00","7","0","0"
"86.688","2026-06-04T21:08:18.9734941+06:00","7","0","0"
"87.222","2026-06-04T21:08:19.5073857+06:00","7","0","0"
"87.806","2026-06-04T21:08:20.0920790+06:00","7","0","0"
"88.355","2026-06-04T21:08:20.6402264+06:00","7","0","0"
"88.941","2026-06-04T21:08:21.2264367+06:00","7","0","0"
"89.49","2026-06-04T21:08:21.7759560+06:00","7","0","0"
